Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Inh_Vip_Trim55_2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
Inh_Vip_Trim55_3,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
Inh_Vip_Trim55_4,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
Inh_Vip_Trim55_5,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
Inh_Vip_Trim55_6,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
Inh_Vip_Trim55_7,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Vip_Trim55,Inh_Vip_Trim55_OLF,Inh_Vip_Trim55_OLF
NG_Myoz1_3,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
NG_Myoz1_5,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
NG_Myoz1_6,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,NG_Myoz1,NG_Myoz1_OLF,NG_Myoz1_OLF
Inh_Etv4_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Etv4,Inh_Etv4_OLF,Inh_Etv4_OLF
Inh_Zfp57_Lypd1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Zfp57_Lypd1,Inh_Zfp57_Lypd1_OLF,Inh_Zfp57_Lypd1_OLF
Inh_Etv4_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Etv4,Inh_Etv4_OLF,Inh_Etv4_OLF
Inh_Aqp9_4930523C07Rik,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Aqp9_4930523C07Rik,Inh_Aqp9_4930523C07Rik_OLF,Inh_Aqp9_4930523C07Rik_OLF
Inh_Vwc2l_Colq,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vwc2l_Colq,Inh_Vwc2l_Colq_OLF,Inh_Vwc2l_Colq_OLF
Inh_Vwc2l_Otogl1_1,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vwc2l_Otogl1,Inh_Vwc2l_Otogl1_OLF,Inh_Vwc2l_Otogl1_OLF
Inh_Vwc2l_Otogl1_2,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vwc2l_Otogl1,Inh_Vwc2l_Otogl1_OLF,Inh_Vwc2l_Otogl1_OLF
Inh_Vwc2l_Otogl1_3,neuron,OLF,GABA,MC_58:Inhibitory olfactory neurons,Inh_Vwc2l_Otogl1,Inh_Vwc2l_Otogl1_OLF,Inh_Vwc2l_Otogl1_OLF
Inh_Tmem200a_Esr2,neuron,OLF,GABA,MC_57:Inhibitory olfactory neurons,Inh_Tmem200a_Esr2,Inh_Tmem200a_Esr2_OLF,Inh_Tmem200a_Esr2_OLF
